Café;Species;Country_Origin;Fragrance_Aroma;Flavor;Aftertaste;Salt_Acid;Mouthfeel;Balance;Bitter_Sweet;Uniform_Cup;Clean_Cup;Cupper_Points;quality_score
1;Robusta;Uganda;7.83;8.08;7.75;7.92;8.25;7.92;8.00;10.00;10.00;8.00;83.75
2;Robusta;India;8.00;7.75;7.92;8.00;7.92;7.92;8.00;10.00;10.00;8.00;83.50
3;Robusta;India;7.92;7.83;7.92;8.00;7.83;7.92;7.83;10.00;10.00;8.00;83.25
4;Robusta;Uganda;8.00;7.92;7.92;7.75;7.83;7.75;7.75;10.00;10.00;8.08;83.00
5;Robusta;Uganda;8.33;7.83;7.83;7.75;8.25;7.75;7.58;10.00;10.00;7.67;83.00
6;Robusta;India;8.00;7.92;7.67;8.00;7.75;7.92;7.75;10.00;10.00;7.75;82.75
7;Robusta;India;7.67;7.75;7.83;7.83;7.92;7.75;8.00;10.00;10.00;7.83;82.58
8;Robusta;India;7.67;7.75;7.83;7.67;7.92;7.83;7.92;10.00;10.00;7.92;82.50
9;Robusta;India;7.67;7.75;7.58;7.83;7.83;8.00;7.92;10.00;10.00;7.92;82.50
10;Robusta;Uganda;7.67;7.83;7.83;7.83;7.92;7.75;7.75;10.00;10.00;7.83;82.42
11;Robusta;Uganda;7.58;7.92;7.75;7.83;7.50;7.67;7.67;10.00;10.00;7.83;81.75
12;Robusta;India;7.67;7.83;7.75;7.50;7.75;7.58;7.75;10.00;10.00;7.75;81.58
13;Robusta;India;7.58;7.58;7.67;7.58;7.67;7.67;7.50;10.00;10.00;8.33;81.58
14;Robusta;Uganda;8.00;7.75;7.75;7.58;7.67;7.50;7.58;10.00;10.00;7.67;81.50
15;Robusta;Uganda;8.00;7.67;7.75;7.50;7.67;7.58;7.58;10.00;10.00;7.75;81.50
16;Robusta;India;7.75;7.75;7.67;7.67;7.58;7.58;7.58;10.00;10.00;7.83;81.42
17;Robusta;India;7.50;7.50;7.25;7.83;7.67;7.83;7.83;10.00;10.00;7.83;81.25
18;Robusta;Uganda;7.33;7.58;7.50;7.75;7.75;7.67;7.75;10.00;10.00;7.58;80.92
19;Robusta;Uganda;7.83;7.58;7.33;7.67;7.50;7.50;7.75;10.00;10.00;7.42;80.58
20;Robusta;Uganda;7.75;7.42;7.33;7.58;7.67;7.58;7.67;10.00;10.00;7.50;80.50
21;Robusta;India;7.67;7.67;7.50;7.33;7.58;7.50;7.42;10.00;10.00;7.50;80.17
22;Robusta;India;7.58;7.42;7.42;7.83;7.42;7.50;7.42;10.00;10.00;7.58;80.17
23;Robusta;United States;7.92;7.50;7.42;7.42;7.42;7.42;7.58; 9.33;10.00;7.33;79.33
24;Robusta;Ecuador;7.75;7.58;7.33;7.58;5.08;7.83;7.75;10.00;10.00;7.83;78.75
25;Robusta;Ecuador;7.50;7.67;7.75;7.75;5.17;5.25;8.42;10.00;10.00;8.58;78.08
