"","Species","CountryOrigin","FragranceAroma","Flavor","Aftertaste","SaltAcid","Mouthfeel","Balance","BitterSweet","UniformCup","CleanCup","CupperPoints","qualityscore","clust"
"1","Robusta","Uganda",7.83,8.08,7.75,7.92,8.25,7.92,8,10,10,8,83.75,"6"
"2","Robusta","India",8,7.75,7.92,8,7.92,7.92,8,10,10,8,83.5,"4"
"3","Robusta","India",7.92,7.83,7.92,8,7.83,7.92,7.83,10,10,8,83.25,"4"
"4","Robusta","Uganda",8,7.92,7.92,7.75,7.83,7.75,7.75,10,10,8.08,83,"6"
"5","Robusta","Uganda",8.33,7.83,7.83,7.75,8.25,7.75,7.58,10,10,7.67,83,"6"
"6","Robusta","India",8,7.92,7.67,8,7.75,7.92,7.75,10,10,7.75,82.75,"4"
"7","Robusta","India",7.67,7.75,7.83,7.83,7.92,7.75,8,10,10,7.83,82.58,"4"
"8","Robusta","India",7.67,7.75,7.83,7.67,7.92,7.83,7.92,10,10,7.92,82.5,"4"
"9","Robusta","India",7.67,7.75,7.58,7.83,7.83,8,7.92,10,10,7.92,82.5,"4"
"10","Robusta","Uganda",7.67,7.83,7.83,7.83,7.92,7.75,7.75,10,10,7.83,82.42,"6"
"11","Robusta","Uganda",7.58,7.92,7.75,7.83,7.5,7.67,7.67,10,10,7.83,81.75,"6"
"12","Robusta","India",7.67,7.83,7.75,7.5,7.75,7.58,7.75,10,10,7.75,81.58,"4"
"13","Robusta","India",7.58,7.58,7.67,7.58,7.67,7.67,7.5,10,10,8.33,81.58,"4"
"14","Robusta","Uganda",8,7.75,7.75,7.58,7.67,7.5,7.58,10,10,7.67,81.5,"6"
"15","Robusta","Uganda",8,7.67,7.75,7.5,7.67,7.58,7.58,10,10,7.75,81.5,"6"
"16","Robusta","India",7.75,7.75,7.67,7.67,7.58,7.58,7.58,10,10,7.83,81.42,"4"
"17","Robusta","India",7.5,7.5,7.25,7.83,7.67,7.83,7.83,10,10,7.83,81.25,"4"
"18","Robusta","Uganda",7.33,7.58,7.5,7.75,7.75,7.67,7.75,10,10,7.58,80.92,"6"
"19","Robusta","Uganda",7.83,7.58,7.33,7.67,7.5,7.5,7.75,10,10,7.42,80.58,"6"
"20","Robusta","Uganda",7.75,7.42,7.33,7.58,7.67,7.58,7.67,10,10,7.5,80.5,"6"
"21","Robusta","India",7.67,7.67,7.5,7.33,7.58,7.5,7.42,10,10,7.5,80.17,"4"
"22","Robusta","India",7.58,7.42,7.42,7.83,7.42,7.5,7.42,10,10,7.58,80.17,"4"
