"Cafe","Indice_0_100"
"29",100
"30",97.36
"36",95.31
"32",94.6
"33",93.76
"37",93.64
"38",91.69
"39",91.36
"31",91.22
"43",91.19
"46",90.38
"40",88.84
"41",88.47
"48",87.9
"35",87.46
"44",87.02
"34",86.94
"53",86.78
"55",86.67
"49",85.83
"52",85.28
"67",84.2
"63",84.01
"42",83.8
"47",83.05
"79",82.84
"56",82.64
"85",82.48
"45",82.28
"50",82.26
"90",82.21
"88",82.19
"68",82.05
"64",81.4
"96",81.34
"99",81.28
"110",80.99
"77",80.83
"111",80.8
"73",80.62
"119",80.03
"62",79.72
"54",79.69
"75",79.61
"123",79.6
"117",79.57
"78",79.22
"147",79.22
"82",79.21
"51",79.02
"148",79.02
"95",78.72
"268",78.71
"60",78.69
"69",78.69
"84",78.6
"76",78.49
"160",78.43
"58",78.25
"172",78.21
"61",78.2
"108",78.01
"97",77.96
"71",77.77
"109",77.77
"65",77.72
"83",77.66
"66",77.56
"70",77.54
"100",77.51
"156",77.25
"72",77.24
"207",77.22
"74",77.06
"94",76.97
"218",76.92
"91",76.76
"57",76.67
"129",76.66
"130",76.65
"106",76.55
"92",76.51
"80",76.48
"89",76.37
"249",76.37
"270",76.22
"125",76.16
"150",76.04
"279",75.98
"103",75.91
"143",75.78
"166",75.59
"81",75.56
"104",75.52
"114",75.49
"176",75.49
"113",75.44
"1",75.4
"310",75.29
"121",75.27
"86",75.26
"173",75.26
"208",75.26
"87",75.24
"145",75.2
"107",75.09
"181",75.09
"59",75
"102",74.9
"101",74.75
"93",74.67
"323",74.67
"194",74.65
"170",74.64
"506",74.63
"152",74.47
"370",74.45
"126",74.4
"139",74.36
"118",74.26
"127",74.16
"135",74.14
"163",74.11
"115",74.1
"136",74.09
"188",74.06
"388",73.76
"253",73.72
"98",73.68
"154",73.67
"184",73.62
"174",73.59
"131",73.55
"165",73.52
"122",73.49
"4",73.45
"162",73.22
"180",73.21
"159",73.1
"142",73.07
"105",73.06
"157",73.02
"284",73.02
"282",73.01
"149",72.97
"112",72.92
"124",72.92
"116",72.91
"179",72.9
"214",72.9
"238",72.86
"175",72.83
"182",72.82
"192",72.8
"120",72.79
"189",72.79
"283",72.76
"187",72.74
"141",72.65
"138",72.6
"381",72.59
"171",72.58
"134",72.56
"191",72.56
"259",72.56
"190",72.52
"324",72.49
"183",72.38
"146",72.36
"5",72.35
"133",72.33
"161",72.33
"278",72.33
"408",72.33
"203",72.31
"155",72.3
"200",72.27
"137",72.2
"212",72.18
"202",72.14
"344",72.08
"198",72.06
"144",72.03
"229",71.94
"2",71.93
"226",71.93
"228",71.92
"233",71.88
"222",71.86
"566",71.81
"285",71.8
"227",71.73
"256",71.69
"481",71.64
"201",71.63
"241",71.63
"178",71.58
"185",71.55
"225",71.48
"240",71.43
"168",71.42
"221",71.33
"210",71.29
"199",71.25
"331",71.25
"245",71.21
"287",71.18
"248",71.17
"217",71.14
"276",71.13
"3",71.11
"273",71.08
"257",71.05
"264",71.03
"158",70.99
"213",70.99
"234",70.98
"164",70.96
"10",70.9
"186",70.89
"340",70.89
"311",70.88
"349",70.81
"281",70.75
"316",70.75
"216",70.73
"251",70.73
"177",70.71
"277",70.68
"371",70.68
"128",70.65
"295",70.63
"140",70.61
"167",70.59
"197",70.47
"286",70.47
"292",70.43
"296",70.43
"261",70.42
"205",70.41
"230",70.41
"303",70.32
"409",70.31
"269",70.26
"354",70.25
"151",70.21
"231",70.21
"297",70.21
"745",70.19
"247",70.18
"293",70.16
"219",70.13
"335",70.12
"153",70.11
"204",70.11
"260",70.1
"305",70.1
"326",70.08
"132",70.07
"330",70.06
"299",70.05
"280",70.04
"351",70.03
"357",69.99
"254",69.96
"341",69.95
"333",69.94
"328",69.93
"363",69.92
"304",69.91
"329",69.87
"289",69.8
"250",69.78
"597",69.77
"336",69.64
"193",69.63
"308",69.62
"312",69.62
"449",69.62
"232",69.6
"266",69.55
"665",69.52
"378",69.51
"290",69.5
"224",69.45
"223",69.42
"262",69.42
"353",69.41
"592",69.41
"220",69.38
"252",69.37
"334",69.37
"372",69.37
"376",69.37
"366",69.36
"244",69.35
"373",69.34
"322",69.31
"358",69.31
"485",69.3
"367",69.27
"320",69.25
"385",69.24
"239",69.15
"368",69.14
"169",69.12
"394",69.09
"400",69.08
"389",69.06
"374",69.05
"314",69.03
"243",69.02
"392",69
"382",68.96
"435",68.95
"11",68.91
"258",68.89
"6",68.88
"380",68.84
"542",68.84
"395",68.83
"406",68.83
"420",68.82
"383",68.81
"412",68.81
"325",68.8
"350",68.8
"275",68.79
"390",68.79
"529",68.78
"521",68.77
"7",68.76
"404",68.76
"343",68.75
"321",68.73
"242",68.72
"265",68.72
"588",68.71
"347",68.7
"263",68.69
"407",68.69
"364",68.65
"195",68.62
"8",68.6
"421",68.56
"442",68.56
"291",68.53
"411",68.53
"528",68.53
"426",68.51
"427",68.49
"764",68.42
"309",68.4
"255",68.36
"537",68.31
"9",68.3
"294",68.29
"415",68.28
"425",68.27
"465",68.26
"573",68.23
"272",68.22
"455",68.2
"307",68.19
"438",68.17
"206",68.16
"361",68.15
"484",68.15
"423",68.14
"443",68.06
"574",68.06
"342",68.05
"468",68.05
"379",68.04
"451",68.03
"313",68.02
"457",68.01
"464",68.01
"196",68
"15",67.97
"211",67.97
"274",67.97
"430",67.96
"505",67.95
"337",67.94
"14",67.92
"327",67.89
"317",67.88
"467",67.88
"306",67.87
"387",67.85
"433",67.85
"215",67.83
"466",67.83
"410",67.79
"450",67.79
"477",67.77
"563",67.77
"339",67.76
"434",67.76
"447",67.76
"476",67.76
"486",67.75
"332",67.71
"413",67.71
"362",67.67
"315",67.66
"348",67.63
"237",67.58
"446",67.57
"498",67.57
"403",67.56
"478",67.5
"557",67.46
"652",67.45
"522",67.43
"546",67.41
"634",67.4
"209",67.39
"235",67.39
"236",67.39
"386",67.34
"356",67.28
"507",67.27
"545",67.24
"648",67.22
"530",67.2
"1084",67.2
"298",67.18
"459",67.18
"556",67.17
"543",67.16
"579",67.13
"586",67.12
"510",67.07
"554",67.07
"544",67.06
"414",67.05
"551",67.04
"552",67.04
"436",67.03
"267",67.02
"550",67.02
"639",67.01
"391",66.97
"359",66.96
"540",66.96
"428",66.94
"564",66.94
"578",66.92
"355",66.91
"496",66.87
"599",66.85
"469",66.84
"559",66.83
"13",66.81
"365",66.81
"402",66.79
"419",66.79
"375",66.78
"671",66.77
"431",66.75
"514",66.75
"581",66.75
